id,title,requires_geo_logic,reasoning,regulations
1,Curfew login blocker with ASL and GH for Utah minors,null,"The feature involves ASL (Age-sensitive logic) for Utah minors, which suggests it may be related to child protection laws but lacks clear legal obligations or evidence.",
2,PF default toggle with NR enforcement for California teens,true,"The feature involves disabling a personalized feed for minors under 18 located in California due to compliance with the state's SB976 law, which is specific to California and does not apply to other regions.",california_kids_act
3,Child abuse content scanner using T5 and CDS triggers,true,"The feature involves legal obligations related to child sexual abuse content reporting, which is covered by the US federal law requiring providers to report such content to NCMEC and specific state laws like Florida's Online Protections for Minors.",us_ncmec_reporting
4,Content visibility lock with NSP for EU DSA,null,"This feature is aimed at complying with EU Digital Services Act (DSA) to ensure transparency for user-generated content labeled as non-shareable, which applies only within the EU region.",dsa
5,Jellybean-based parental notifications for Florida regulation,null,"The feature is related to Florida's Online Protections for Minors law, which involves parental notifications and behavioral monitoring of minors on the platform. This regulation does not specify any geographical restrictions or obligations.",
6,Unified retention control via DRT & CDS,null,"The feature involves data retention thresholds and compliance detection systems which are relevant to state-specific laws concerning minors' privacy and online safety, such as the Florida Online Protections for Minors Act.",florida_online_protections
7,NSP auto-flagging,null,"This feature is triggered by social platforms accessed by minors in California, Florida, and Utah due to their respective laws protecting children from harmful content.",california_kids_act
8,T5 tagging for sensitive reports,null,"The feature involves tagging sensitive reports as Tier 5 (more critical than T1-T4) based on internal taxonomy, which is applicable across all regions without regional toggles or GH routes. This suggests a universal legal obligation rather than a business-specific regulation.",
9,Underage protection via Snowcap trigger,null,"The feature involves underage protection via Snowcap, which is triggered for all underage users platform-wide and applies ASL to segment accounts. This aligns with the US federal reporting obligations for NCMEC (NCMEC Reporting Child Sexual Abuse Material).",us_ncmec_reporting
10,Universal PF deactivation on guest mode,null,"This feature involves a potential legal obligation related to child sexual abuse material reporting due to the mention of NCMEC regulation, which is relevant for US federal obligations.",us_ncmec_reporting
11,Story resharing with content expiry,null,"The feature involves user activity logging and compliance routing, which could be related to legal obligations such as child sexual abuse material reporting (NCMEC).",us_ncmec_reporting
12,Leaderboard system for weekly creators,null,"The feature involves tracking points and rankings for creators using internal analytics. There are no clear legal obligations or safety cues related to minors, personalized feeds, CSAM reporting, or explicit compliance requirements.",dsa
13,Mood-based PF enhancements,null,"The feature involves mood-based PF enhancements that are soft-tuned using baseline behavior and undergoes quiet testing in ShadowMode, which does not indicate any legal obligations related to minors or social media regulation.",
14,New user rewards via NR profile suggestions,false,"The feature involves A/B testing for a synthetic rule engine (Spanner), which does not indicate any legal obligations or specific geographic requirements.",
15,Creator fund payout tracking in CDS,null,"The feature involves tracking monetization events for creator payouts through CDS, which does not indicate a legal obligation related to minors or social media regulation.",
16,Trial run of video replies in EU,null,"The feature involves a geographically targeted rollout to EU users which does not indicate any legal obligations or safety concerns related to minors, CSAM reporting, or explicit compliance requirements.",
17,Canada-first PF variant test,null,"The feature involves a personalized feed for Canada, which could potentially conflict with privacy and child protection laws due to the involvement of minors.",california_kids_act
18,Chat UI overhaul,null,"The feature involves a new chat layout being tested in specific regions (CA, US, BR, ID) with no indication of legal obligations or safety triggers.",
19,Regional trial of autoplay behavior,null,"The feature involves a geographically targeted approach to enable video autoplay for US users only, which aligns with the California Kids Act aimed at protecting minors from social media addiction.",
20,South Korea dark theme A/B experiment,false,"The feature involves a limited rollout via Geo-handler for users in South Korea and is described as an A/B test of a dark theme accessibility, which does not indicate any legal obligation related to minors or social media.",
21,Age-specific notification controls with ASL,null,The feature involves age-specific notification controls which aligns with legal obligations related to child sexual abuse material reporting.,us_ncmec_reporting
22,Chat content restrictions via LCP,null,"This feature involves enforcing message content constraints based on local compliance policies, which does not inherently imply a legal obligation but rather follows privacy guidelines for minors.",us_ncmec_reporting
23,Video upload limits for new users,null,The feature introduces video upload limits for new users based on baseline behavior patterns without direct legal mapping.,us_ncmec_reporting
24,Flag escalation flow for sensitive comments,null,"The feature involves a flow for detecting high-risk comment content and routing it via CDS with Redline markers. The evidence points to California's Kids Act, Florida’s Online Protections, and Utah’s Social Media Regulation Act. These regulations are specific to minors in their respective states.",california_kids_act
25,User behavior scoring for policy gating,null,"The feature involves behavioral scoring for policy gating which is related to legal obligations such as child sexual abuse material reporting (NCMEC) and protecting minors from social media addiction, indicating a need for compliance in the US federal context.",us_ncmec_reporting
26,Minor-safe chat expansion via Jellybean,null,"The feature involves limiting certain functions for users flagged by Jellybean (a parental control system), which is related to the California Kids Act as it pertains to protecting minors from social media addiction.",california_kids_act
27,Friend suggestions with underage safeguards,null,"The feature involves recommending friends using a personalized feed which could potentially expose minors to adult content. This raises concerns about compliance with legal obligations related to protecting children from harmful material, such as the NCMEC reporting requirement.",us_ncmec_reporting
28,Reaction GIFs with embedded filtering,null,"The feature involves filtering content for minor accounts, which aligns with legal obligations related to protecting minors from inappropriate material.",us_ncmec_reporting
29,Longform posts with age-based moderation,false,"The feature title mentions age-based moderation for longform posts, which is related to the Utah Social Media Regulation Act (Utah) as it involves minors and social media regulation.",utah_social_media_regulation
30,Custom avatar system with identity checks,null,"The feature involves age-sensitive logic for detecting underage users and blocking adult-themed assets, which aligns with legal obligations related to protecting minors from harmful content.",us_ncmec_reporting
