id,title,requires_geo_logic,reasoning,regulations
1,Curfew login blocker with ASL and GH for Utah minors,true,"The feature is designed to comply with the Utah Social Media Regulation Act, which imposes legal obligations regarding minors' access to social media.",utah_social_media_regulation
2,PF default toggle with NR enforcement for California teens,true,"The feature is designed to comply with California's SB976, which mandates specific protections for minors, indicating a legal obligation.",california_kids_act
3,Child abuse content scanner using T5 and CDS triggers,true,"The feature is designed to comply with US federal law requiring mandatory reporting of child sexual abuse material to NCMEC, indicating a clear legal obligation.",us_ncmec_reporting
4,Content visibility lock with NSP for EU DSA,true,"The feature is designed to comply with the EU Digital Services Act, which imposes legal obligations regarding the treatment of user-generated content, particularly for minors. This indicates a clear legal requirement for geo-specific enforcement.",dsa
5,Jellybean-based parental notifications for Florida regulation,null,"The feature is designed to comply with Florida's Online Protections for Minors law, indicating a legal obligation to protect minors on social platforms.",florida_online_protections
6,Unified retention control via DRT & CDS,true,"The feature involves data retention and protections for minors, which indicates a legal obligation under the EU Digital Services Act (DSA).",dsa
7,NSP auto-flagging,null,"The feature involves mandatory reporting of apparent child sexual abuse material to NCMEC CyberTipline, indicating a legal obligation under US federal law.",us_ncmec_reporting
8,T5 tagging for sensitive reports,null,"The feature involves mandatory reporting of apparent child sexual abuse material to NCMEC, indicating a legal obligation under US federal law.",us_ncmec_reporting
9,Underage protection via Snowcap trigger,null,"The feature is designed to comply with the California Kids Act, which mandates protections for minors on social media platforms, including safeguards against addictive features and parental controls.",california_kids_act
10,Universal PF deactivation on guest mode,null,"The feature is designed to protect minors in Florida by disabling personalized feeds in guest mode, indicating a legal obligation under Florida's Online Protections for Minors.",florida_online_protections
11,Story resharing with content expiry,null,"The feature involves resharing stories which may impact minors, thus invoking the California Kids Act due to its focus on protecting minors from social media addiction.",california_kids_act
12,Leaderboard system for weekly creators,null,"The feature involves a creator leaderboard that may impact minors, aligning with the California Kids Act which emphasizes safeguards for minors on social platforms.",california_kids_act
13,Mood-based PF enhancements,null,"The feature adjusts recommendations based on inferred mood signals from minors, which aligns with the California Kids Act's focus on protecting minors from addictive features.",california_kids_act
14,New user rewards via NR profile suggestions,true,"The feature involves personalized recommendations for users, which raises legal obligations under the EU Digital Services Act regarding minors' protections and transparency.",dsa
15,Creator fund payout tracking in CDS,null,"The feature involves mandatory reporting of apparent child sexual abuse material to NCMEC, indicating a legal obligation under US federal law.",us_ncmec_reporting
16,Trial run of video replies in EU,true,"The feature rollout is limited to users in the EEA, and it involves protections for minors, which indicates a legal obligation under the EU Digital Services Act.",dsa
17,Canada-first PF variant test,null,"The feature targets minors in California and involves personalized recommendations, indicating a legal obligation under the California Kids Act.",california_kids_act
18,Chat UI overhaul,null,"The feature involves location targeting and usage metrics collection, but does not indicate a clear legal obligation regarding minors or personalized feeds.",california_kids_act
19,Regional trial of autoplay behavior,true,"The feature involves enabling video autoplay specifically for users in the US, which indicates a legal obligation to comply with regulations regarding user experience and protections for minors.",dsa
20,South Korea dark theme A/B experiment,null,The A/B test is focused on user experience and does not indicate a legal obligation regarding minors or personalized feeds.,florida_online_protections
21,Age-specific notification controls with ASL,null,"The regulations indicate a legal obligation to implement age-specific notification controls for minors, particularly in relation to personalized recommendations and parental controls.",california_kids_act
22,Chat content restrictions via LCP,null,"The feature enforces message content constraints for minors in Utah, implying a legal obligation under the Utah Social Media Regulation Act.",utah_social_media_regulation
23,Video upload limits for new users,null,"The feature introduces limits on video uploads for new accounts, primarily for platform safety, but does not indicate a clear legal obligation despite referencing regulations related to minors.",florida_online_protections
24,Flag escalation flow for sensitive comments,null,"The feature involves mandatory reporting of apparent child sexual abuse material to NCMEC, indicating a legal obligation under US federal law.",us_ncmec_reporting
25,User behavior scoring for policy gating,true,"The feature involves behavioral scoring that impacts minors, which aligns with the legal obligations under the EU Digital Services Act regarding protections for minors and transparency in recommender systems.",dsa
26,Minor-safe chat expansion via Jellybean,null,"The feature expansion includes limitations for users flagged by Jellybean, indicating a legal obligation to comply with regulations regarding minors in Utah.",utah_social_media_regulation
27,Friend suggestions with underage safeguards,null,"The feature involves safeguarding minors on social platforms in Florida, indicating a legal obligation to comply with regulations regarding online protections for minors.",florida_online_protections
28,Reaction GIFs with embedded filtering,null,"The feature involves protections for minors using social platforms in Florida, indicating a legal obligation to comply with regulations regarding age verification and content filtering.",florida_online_protections
29,Longform posts with age-based moderation,null,"Moderation for underage authors is stricter due to the Utah Social Media Regulation Act, which imposes legal obligations regarding minors.",utah_social_media_regulation
30,Custom avatar system with identity checks,null,"The feature involves age verification and restrictions on content for minors, indicating a legal obligation to comply with regulations regarding online protections for minors in Florida.",florida_online_protections
